Case ID,Activity,Start Timestamp,Complete Timestamp,Resource,Role
4,Create Request for Quotation Requester Manager,2011-01-01 17:56:00.000,2011-01-01 17:58:00.000,Heinz Gutschmidt,Requester Manager
4,Analyze Request for Quotation,2011-01-01 18:58:00.000,2011-01-01 19:19:00.000,Francois de Perrier,Purchasing Agent
4,Amend Request for Quotation Requester,2011-01-01 20:06:00.000,2011-01-01 20:14:00.000,Nico Ojenbeer,Requester Manager
4,Analyze Request for Quotation,2011-01-01 21:01:00.000,2011-01-01 21:24:00.000,Francois de Perrier,Purchasing Agent
4,Send Request for Quotation to Supplier,2011-01-02 01:42:00.000,2011-01-02 02:01:00.000,Karel de Groot,Purchasing Agent
4,Create Quotation comparison Map,2011-01-02 02:48:00.000,2011-01-02 08:08:00.000,Karel de Groot,Purchasing Agent
4,Analyze Quotation comparison Map,2011-01-02 14:59:00.000,2011-01-02 15:13:00.000,Elvira Lores,Requester
4,Choose best option,2011-01-02 15:13:00.000,2011-01-02 15:13:00.000,Kim Passa,Requester
4,Settle conditions with supplier,2011-01-02 18:13:00.000,2011-01-03 06:45:00.000,Magdalena Predutta,Purchasing Agent
4,Create Purchase Order,2011-01-03 11:08:00.000,2011-01-03 11:17:00.000,Magdalena Predutta,Purchasing Agent
4,Confirm Purchase Order,2011-01-03 15:13:00.000,2011-01-03 15:38:00.000,Carmen Finacse,Supplier
4,Deliver Goods Services,2011-01-03 22:05:00.000,2011-01-05 01:30:00.000,Carmen Finacse,Supplier
4,Release Purchase Order,2011-01-05 08:57:00.000,2011-01-05 08:58:00.000,Miu Hanwan,Requester
4,Approve Purchase Order for payment,2011-01-05 23:29:00.000,2011-01-05 23:30:00.000,Magdalena Predutta,Purchasing Agent
4,Send invoice,2011-01-06 05:13:00.000,2011-01-06 05:13:00.000,Esmeralda Clay,Supplier
4,Authorize Supplier's Invoice payment,2011-01-06 19:39:00.000,2011-01-06 19:39:00.000,Pedro Alvares,Financial Manager
4,Pay invoice,2011-01-06 20:25:00.000,2011-01-06 20:32:00.000,Karalda Nimwada,Financial Manager
5,Create Purchase Requisition,2011-01-01 08:49:00.000,2011-01-01 09:35:00.000,Esmana Liubiata,Requester
5,Analyze Purchase Requisition,2011-01-02 00:50:00.000,2011-01-02 00:57:00.000,Maris Freeman,Requester Manager
5,Create Request for Quotation Requester Manager,2011-01-02 01:05:00.000,2011-01-02 01:06:00.000,Maris Freeman,Requester Manager
5,Analyze Request for Quotation,2011-01-02 02:02:00.000,2011-01-02 02:27:00.000,Karel de Groot,Purchasing Agent
5,Amend Request for Quotation Requester,2011-01-02 03:21:00.000,2011-01-02 03:33:00.000,Anne Olwada,Requester Manager
5,Analyze Request for Quotation,2011-01-02 08:08:00.000,2011-01-02 08:42:00.000,Karel de Groot,Purchasing Agent
5,Send Request for Quotation to Supplier,2011-01-02 17:49:00.000,2011-01-02 18:21:00.000,Karel de Groot,Purchasing Agent
5,Create Quotation comparison Map,2011-01-02 18:36:00.000,2011-01-02 19:14:00.000,Karel de Groot,Purchasing Agent
5,Analyze Quotation comparison Map,2011-01-03 02:18:00.000,2011-01-03 02:30:00.000,Anne Olwada,Requester
5,Choose best option,2011-01-03 02:30:00.000,2011-01-03 02:30:00.000,Nico Ojenbeer,Requester
5,Settle conditions with supplier,2011-01-03 12:18:00.000,2011-01-03 18:12:00.000,Magdalena Predutta,Purchasing Agent
5,Create Purchase Order,2011-01-03 20:01:00.000,2011-01-03 20:09:00.000,Karel de Groot,Purchasing Agent
5,Confirm Purchase Order,2011-01-04 00:02:00.000,2011-01-04 00:24:00.000,Karen Clarens,Supplier
5,Deliver Goods Services,2011-01-04 08:08:00.000,2011-01-05 03:37:00.000,Kiu Kan,Supplier
5,Release Purchase Order,2011-01-05 11:13:00.000,2011-01-05 11:14:00.000,Anna Kaufmann,Requester
5,Approve Purchase Order for payment,2011-01-06 01:41:00.000,2011-01-06 01:42:00.000,Francois de Perrier,Purchasing Agent
5,Send invoice,2011-01-06 07:23:00.000,2011-01-06 07:23:00.000,Esmeralda Clay,Supplier
5,Authorize Supplier's Invoice payment,2011-01-06 21:47:00.000,2011-01-06 21:47:00.000,Karalda Nimwada,Financial Manager
5,Pay invoice,2011-01-06 21:55:00.000,2011-01-06 22:04:00.000,Karalda Nimwada,Financial Manager
7,Create Purchase Requisition,2011-01-01 13:05:00.000,2011-01-01 14:00:00.000,Esmana Liubiata,Requester
7,Analyze Purchase Requisition,2011-01-02 12:33:00.000,2011-01-02 12:38:00.000,Maris Freeman,Requester Manager
7,Create Request for Quotation Requester Manager,2011-01-02 12:41:00.000,2011-01-02 12:42:00.000,Maris Freeman,Requester Manager
7,Analyze Request for Quotation,2011-01-02 14:07:00.000,2011-01-02 14:29:00.000,Magdalena Predutta,Purchasing Agent
7,Amend Request for Quotation Requester,2011-01-02 15:21:00.000,2011-01-02 15:28:00.000,Esmana Liubiata,Requester Manager
7,Analyze Request for Quotation,2011-01-02 16:22:00.000,2011-01-02 16:47:00.000,Karel de Groot,Purchasing Agent
7,Amend Request for Quotation Requester,2011-01-02 17:36:00.000,2011-01-02 17:50:00.000,Nico Ojenbeer,Requester Manager
7,Analyze Request for Quotation,2011-01-02 19:14:00.000,2011-01-02 19:28:00.000,Karel de Groot,Purchasing Agent
7,Send Request for Quotation to Supplier,2011-01-02 23:17:00.000,2011-01-02 23:40:00.000,Karel de Groot,Purchasing Agent
7,Create Quotation comparison Map,2011-01-03 07:00:00.000,2011-01-03 11:08:00.000,Magdalena Predutta,Purchasing Agent
7,Analyze Quotation comparison Map,2011-01-03 18:19:00.000,2011-01-03 18:35:00.000,Miu Hanwan,Requester
7,Choose best option,2011-01-03 18:35:00.000,2011-01-03 18:35:00.000,Immanuel Karagianni,Requester
7,Settle conditions with supplier,2011-01-03 21:52:00.000,2011-01-04 12:08:00.000,Magdalena Predutta,Purchasing Agent
7,Create Purchase Order,2011-01-04 16:10:00.000,2011-01-04 16:18:00.000,Karel de Groot,Purchasing Agent
7,Confirm Purchase Order,2011-01-05 01:37:00.000,2011-01-05 01:44:00.000,Carmen Finacse,Supplier
7,Deliver Goods Services,2011-01-05 08:12:00.000,2011-01-05 18:17:00.000,Karen Clarens,Supplier
7,Release Purchase Order,2011-01-06 01:34:00.000,2011-01-06 01:35:00.000,Clement Duchot,Requester
7,Approve Purchase Order for payment,2011-01-06 09:43:00.000,2011-01-06 09:44:00.000,Magdalena Predutta,Purchasing Agent
7,Send invoice,2011-01-06 18:11:00.000,2011-01-06 18:11:00.000,Karen Clarens,Supplier
7,Release Supplier's Invoice,2011-01-07 08:22:00.000,2011-01-07 08:27:00.000,Karalda Nimwada,Financial Manager
7,Authorize Supplier's Invoice payment,2011-01-07 08:27:00.000,2011-01-07 08:27:00.000,Karalda Nimwada,Financial Manager
7,Pay invoice,2011-01-07 08:41:00.000,2011-01-07 08:53:00.000,Karalda Nimwada,Financial Manager
8,Create Purchase Requisition,2011-01-01 13:27:00.000,2011-01-01 14:17:00.000,Fjodor Kowalski,Requester
8,Create Request for Quotation Requester,2011-01-01 17:00:00.000,2011-01-01 17:07:00.000,Tesca Lobes,Requester
8,Analyze Request for Quotation,2011-01-01 18:04:00.000,2011-01-01 18:27:00.000,Francois de Perrier,Purchasing Agent
8,Amend Request for Quotation Requester,2011-01-01 19:21:00.000,2011-01-01 19:34:00.000,Tesca Lobes,Requester Manager
8,Analyze Request for Quotation,2011-01-01 20:35:00.000,2011-01-01 21:01:00.000,Magdalena Predutta,Purchasing Agent
8,Send Request for Quotation to Supplier,2011-01-02 08:20:00.000,2011-01-02 08:48:00.000,Francois de Perrier,Purchasing Agent
8,Create Quotation comparison Map,2011-01-02 09:10:00.000,2011-01-02 14:33:00.000,Karel de Groot,Purchasing Agent
8,Analyze Quotation comparison Map,2011-01-02 21:08:00.000,2011-01-02 21:14:00.000,Anne Olwada,Requester
8,Choose best option,2011-01-02 21:14:00.000,2011-01-02 21:14:00.000,Immanuel Karagianni,Requester
8,Settle conditions with supplier,2011-01-02 23:40:00.000,2011-01-03 11:50:00.000,Karel de Groot,Purchasing Agent
8,Create Purchase Order,2011-01-03 14:07:00.000,2011-01-03 14:19:00.000,Karel de Groot,Purchasing Agent
8,Confirm Purchase Order,2011-01-03 18:06:00.000,2011-01-03 18:31:00.000,Sean Manney,Supplier
8,Deliver Goods Services,2011-01-04 04:00:00.000,2011-01-05 09:34:00.000,Sean Manney,Supplier
8,Release Purchase Order,2011-01-05 17:11:00.000,2011-01-05 17:12:00.000,Esmana Liubiata,Requester
8,Approve Purchase Order for payment,2011-01-06 12:47:00.000,2011-01-06 12:48:00.000,Francois de Perrier,Purchasing Agent
8,Send invoice,2011-01-07 00:19:00.000,2011-01-07 00:19:00.000,Kiu Kan,Supplier
8,Release Supplier's Invoice,2011-01-07 14:41:00.000,2011-01-07 14:48:00.000,Pedro Alvares,Financial Manager
8,Authorize Supplier's Invoice payment,2011-01-07 14:48:00.000,2011-01-07 14:48:00.000,Karalda Nimwada,Financial Manager
8,Pay invoice,2011-01-07 14:53:00.000,2011-01-07 15:04:00.000,Pedro Alvares,Financial Manager
10,Create Purchase Requisition,2011-01-02 01:52:00.000,2011-01-02 02:43:00.000,Esmana Liubiata,Requester
10,Create Request for Quotation Requester,2011-01-02 09:25:00.000,2011-01-02 09:32:00.000,Immanuel Karagianni,Requester
10,Analyze Request for Quotation,2011-01-02 14:32:00.000,2011-01-02 14:59:00.000,Francois de Perrier,Purchasing Agent
10,Send Request for Quotation to Supplier,2011-01-03 11:50:00.000,2011-01-03 12:07:00.000,Karel de Groot,Purchasing Agent
10,Create Quotation comparison Map,2011-01-03 12:31:00.000,2011-01-03 13:28:00.000,Karel de Groot,Purchasing Agent
10,Analyze Quotation comparison Map,2011-01-03 20:44:00.000,2011-01-03 21:05:00.000,Anna Kaufmann,Requester
10,Choose best option,2011-01-03 21:05:00.000,2011-01-03 21:05:00.000,Nico Ojenbeer,Requester
10,Settle conditions with supplier,2011-01-03 22:53:00.000,2011-01-04 03:31:00.000,Karel de Groot,Purchasing Agent
10,Create Purchase Order,2011-01-04 08:44:00.000,2011-01-04 08:52:00.000,Karel de Groot,Purchasing Agent
10,Confirm Purchase Order,2011-01-05 01:49:00.000,2011-01-05 01:58:00.000,Carmen Finacse,Supplier
10,Deliver Goods Services,2011-01-05 10:48:00.000,2011-01-07 00:19:00.000,Kiu Kan,Supplier
10,Release Purchase Order,2011-01-07 07:54:00.000,2011-01-07 07:55:00.000,Tesca Lobes,Requester
10,Approve Purchase Order for payment,2011-01-09 01:55:00.000,2011-01-09 01:56:00.000,Karel de Groot,Purchasing Agent
10,Send invoice,2011-01-09 23:23:00.000,2011-01-09 23:23:00.000,Karen Clarens,Supplier
10,Release Supplier's Invoice,2011-01-10 13:45:00.000,2011-01-10 13:48:00.000,Karalda Nimwada,Financial Manager
10,Settle dispute with supplier Financial Manager,2011-01-10 14:09:00.000,2011-01-10 14:34:00.000,Karalda Nimwada,Financial Manager
10,Authorize Supplier's Invoice payment,2011-01-10 14:43:00.000,2011-01-10 14:43:00.000,Karalda Nimwada,Financial Manager
10,Pay invoice,2011-01-10 15:03:00.000,2011-01-10 15:16:00.000,Pedro Alvares,Financial Manager
12,Create Purchase Requisition,2011-01-02 04:31:00.000,2011-01-02 04:41:00.000,Alberto Duport,Requester
12,Analyze Purchase Requisition,2011-01-02 22:35:00.000,2011-01-02 22:41:00.000,Francis Odell,Requester Manager
12,Amend Purchase Requisition,2011-01-03 10:31:00.000,2011-01-03 10:57:00.000,Penn Osterwalder,Requester
12,Create Request for Quotation Requester,2011-01-03 16:18:00.000,2011-01-03 16:28:00.000,Tesca Lobes,Requester
12,Analyze Request for Quotation,2011-01-03 17:32:00.000,2011-01-03 17:36:00.000,Karel de Groot,Purchasing Agent
12,Amend Request for Quotation Requester,2011-01-03 18:22:00.000,2011-01-03 18:27:00.000,Penn Osterwalder,Requester Manager
12,Analyze Request for Quotation,2011-01-03 19:24:00.000,2011-01-03 19:46:00.000,Karel de Groot,Purchasing Agent
12,Amend Request for Quotation Requester,2011-01-03 20:35:00.000,2011-01-03 20:40:00.000,Penn Osterwalder,Requester Manager
12,Analyze Request for Quotation,2011-01-03 21:41:00.000,2011-01-03 21:52:00.000,Magdalena Predutta,Purchasing Agent
12,Amend Request for Quotation Requester,2011-01-03 22:40:00.000,2011-01-03 22:54:00.000,Penn Osterwalder,Requester Manager
12,Analyze Request for Quotation,2011-01-03 23:45:00.000,2011-01-04 00:35:00.000,Francois de Perrier,Purchasing Agent
12,Send Request for Quotation to Supplier,2011-01-04 17:40:00.000,2011-01-04 18:03:00.000,Magdalena Predutta,Purchasing Agent
12,Create Quotation comparison Map,2011-01-04 18:42:00.000,2011-01-04 23:34:00.000,Magdalena Predutta,Purchasing Agent
12,Analyze Quotation comparison Map,2011-01-05 06:34:00.000,2011-01-05 06:41:00.000,Esmana Liubiata,Requester
12,Choose best option,2011-01-05 06:41:00.000,2011-01-05 06:41:00.000,Immanuel Karagianni,Requester
12,Settle conditions with supplier,2011-01-05 23:30:00.000,2011-01-06 04:00:00.000,Magdalena Predutta,Purchasing Agent
12,Create Purchase Order,2011-01-06 12:20:00.000,2011-01-06 12:27:00.000,Francois de Perrier,Purchasing Agent
12,Confirm Purchase Order,2011-01-07 00:33:00.000,2011-01-07 00:39:00.000,Kiu Kan,Supplier
12,Deliver Goods Services,2011-01-07 06:08:00.000,2011-01-08 12:08:00.000,Sean Manney,Supplier
12,Release Purchase Order,2011-01-08 19:16:00.000,2011-01-08 19:17:00.000,Christian Francois,Requester
12,Approve Purchase Order for payment,2011-01-08 21:48:00.000,2011-01-08 21:49:00.000,Magdalena Predutta,Purchasing Agent
12,Send invoice,2011-01-10 00:16:00.000,2011-01-10 00:16:00.000,Karen Clarens,Supplier
12,Release Supplier's Invoice,2011-01-10 14:41:00.000,2011-01-10 14:46:00.000,Pedro Alvares,Financial Manager
12,Authorize Supplier's Invoice payment,2011-01-10 14:46:00.000,2011-01-10 14:46:00.000,Karalda Nimwada,Financial Manager
12,Pay invoice,2011-01-10 14:53:00.000,2011-01-10 15:02:00.000,Pedro Alvares,Financial Manager
13,Create Purchase Requisition,2011-01-02 06:47:00.000,2011-01-02 07:06:00.000,Anna Kaufmann,Requester
13,Create Request for Quotation Requester,2011-01-02 10:39:00.000,2011-01-02 10:48:00.000,Anna Kaufmann,Requester
13,Analyze Request for Quotation,2011-01-02 14:33:00.000,2011-01-02 15:15:00.000,Karel de Groot,Purchasing Agent
13,Amend Request for Quotation Requester,2011-01-02 16:04:00.000,2011-01-02 16:18:00.000,Anne Olwada,Requester Manager
13,Analyze Request for Quotation,2011-01-02 17:29:00.000,2011-01-02 18:01:00.000,Magdalena Predutta,Purchasing Agent
13,Amend Request for Quotation Requester,2011-01-02 18:51:00.000,2011-01-02 18:57:00.000,Christian Francois,Requester Manager
13,Analyze Request for Quotation,2011-01-02 20:04:00.000,2011-01-02 20:35:00.000,Francois de Perrier,Purchasing Agent
13,Amend Request for Quotation Requester,2011-01-02 21:23:00.000,2011-01-02 21:32:00.000,Anne Olwada,Requester Manager
13,Analyze Request for Quotation,2011-01-02 22:27:00.000,2011-01-02 22:46:00.000,Francois de Perrier,Purchasing Agent
13,Send Request for Quotation to Supplier,2011-01-03 14:19:00.000,2011-01-03 14:54:00.000,Karel de Groot,Purchasing Agent
13,Create Quotation comparison Map,2011-01-03 15:28:00.000,2011-01-03 17:32:00.000,Karel de Groot,Purchasing Agent
13,Analyze Quotation comparison Map,2011-01-04 00:42:00.000,2011-01-04 01:00:00.000,Clement Duchot,Requester
13,Choose best option,2011-01-04 01:00:00.000,2011-01-04 01:00:00.000,Nico Ojenbeer,Requester
13,Settle conditions with supplier,2011-01-04 03:02:00.000,2011-01-04 07:01:00.000,Francois de Perrier,Purchasing Agent
13,Create Purchase Order,2011-01-04 09:11:00.000,2011-01-04 09:23:00.000,Karel de Groot,Purchasing Agent
13,Confirm Purchase Order,2011-01-05 01:30:00.000,2011-01-05 01:37:00.000,Carmen Finacse,Supplier
13,Deliver Goods Services,2011-01-05 12:37:00.000,2011-01-07 04:21:00.000,Sean Manney,Supplier
13,Release Purchase Order,2011-01-07 12:09:00.000,2011-01-07 12:10:00.000,Christian Francois,Requester
13,Settle dispute with supplier Purchasing Agent,2011-01-07 20:34:00.000,2011-01-08 05:37:00.000,Francois de Perrier,Purchasing Agent
13,Release Purchase Order,2011-01-08 13:22:00.000,2011-01-08 13:23:00.000,Immanuel Karagianni,Requester
13,Approve Purchase Order for payment,2011-01-09 01:01:00.000,2011-01-09 01:02:00.000,Francois de Perrier,Purchasing Agent
13,Send invoice,2011-01-09 14:46:00.000,2011-01-09 14:46:00.000,Sean Manney,Supplier
13,Release Supplier's Invoice,2011-01-10 05:22:00.000,2011-01-10 05:25:00.000,Pedro Alvares,Financial Manager
13,Authorize Supplier's Invoice payment,2011-01-10 05:25:00.000,2011-01-10 05:25:00.000,Pedro Alvares,Financial Manager
13,Pay invoice,2011-01-10 05:36:00.000,2011-01-10 05:49:00.000,Pedro Alvares,Financial Manager
16,Create Purchase Requisition,2011-01-02 18:25:00.000,2011-01-02 19:14:00.000,Esmana Liubiata,Requester
16,Create Request for Quotation Requester,2011-01-02 19:56:00.000,2011-01-02 20:05:00.000,Immanuel Karagianni,Requester
16,Analyze Request for Quotation,2011-01-02 20:53:00.000,2011-01-02 21:13:00.000,Karel de Groot,Purchasing Agent
16,Amend Request for Quotation Requester,2011-01-02 22:05:00.000,2011-01-02 22:11:00.000,Kim Passa,Requester Manager
16,Analyze Request for Quotation,2011-01-02 23:00:00.000,2011-01-02 23:23:00.000,Francois de Perrier,Purchasing Agent
16,Amend Request for Quotation Requester Manager,2011-01-03 15:12:00.000,2011-01-03 15:25:00.000,Heinz Gutschmidt,Requester Manager
16,Analyze Request for Quotation,2011-01-03 18:12:00.000,2011-01-03 18:45:00.000,Magdalena Predutta,Purchasing Agent
16,Amend Request for Quotation Requester,2011-01-03 19:34:00.000,2011-01-03 19:44:00.000,Fjodor Kowalski,Requester Manager
16,Analyze Request for Quotation,2011-01-03 20:50:00.000,2011-01-03 21:15:00.000,Karel de Groot,Purchasing Agent
16,Send Request for Quotation to Supplier,2011-01-04 17:16:00.000,2011-01-04 17:40:00.000,Magdalena Predutta,Purchasing Agent
16,Create Quotation comparison Map,2011-01-04 19:45:00.000,2011-01-05 01:14:00.000,Francois de Perrier,Purchasing Agent
16,Analyze Quotation comparison Map,2011-01-05 07:56:00.000,2011-01-05 08:26:00.000,Tesca Lobes,Requester
16,Choose best option,2011-01-05 08:26:00.000,2011-01-05 08:26:00.000,Elvira Lores,Requester
16,Settle conditions with supplier,2011-01-05 15:28:00.000,2011-01-06 01:06:00.000,Francois de Perrier,Purchasing Agent
16,Create Purchase Order,2011-01-06 12:48:00.000,2011-01-06 13:00:00.000,Francois de Perrier,Purchasing Agent
16,Confirm Purchase Order,2011-01-06 18:11:00.000,2011-01-06 18:31:00.000,Karen Clarens,Supplier
16,Deliver Goods Services,2011-01-07 01:57:00.000,2011-01-08 00:26:00.000,Kiu Kan,Supplier
16,Release Purchase Order,2011-01-08 08:14:00.000,2011-01-08 08:15:00.000,Anna Kaufmann,Requester
16,Approve Purchase Order for payment,2011-01-08 14:15:00.000,2011-01-08 14:16:00.000,Magdalena Predutta,Purchasing Agent
16,Send invoice,2011-01-08 19:58:00.000,2011-01-08 19:58:00.000,Karen Clarens,Supplier
16,Release Supplier's Invoice,2011-01-09 10:14:00.000,2011-01-09 10:20:00.000,Karalda Nimwada,Financial Manager
16,Settle dispute with supplier Financial Manager,2011-01-09 10:55:00.000,2011-01-09 11:11:00.000,Pedro Alvares,Financial Manager
16,Authorize Supplier's Invoice payment,2011-01-09 11:11:00.000,2011-01-09 11:11:00.000,Pedro Alvares,Financial Manager
16,Pay invoice,2011-01-09 11:21:00.000,2011-01-09 11:28:00.000,Pedro Alvares,Financial Manager
17,Create Purchase Requisition,2011-01-02 18:32:00.000,2011-01-02 19:17:00.000,Anne Olwada,Requester
17,Create Request for Quotation Requester,2011-01-03 03:02:00.000,2011-01-03 03:12:00.000,Alberto Duport,Requester
17,Analyze Request for Quotation,2011-01-03 12:41:00.000,2011-01-03 13:02:00.000,Francois de Perrier,Purchasing Agent
17,Amend Request for Quotation Requester,2011-01-03 13:53:00.000,2011-01-03 13:58:00.000,Penn Osterwalder,Requester Manager
17,Analyze Request for Quotation,2011-01-03 15:19:00.000,2011-01-03 15:28:00.000,Karel de Groot,Purchasing Agent
17,Amend Request for Quotation Requester,2011-01-03 16:13:00.000,2011-01-03 16:27:00.000,Anne Olwada,Requester Manager
17,Analyze Request for Quotation,2011-01-03 18:10:00.000,2011-01-03 18:24:00.000,Karel de Groot,Purchasing Agent
17,Amend Request for Quotation Requester,2011-01-03 19:17:00.000,2011-01-03 19:31:00.000,Anna Kaufmann,Requester Manager
17,Analyze Request for Quotation,2011-01-03 21:16:00.000,2011-01-03 21:36:00.000,Francois de Perrier,Purchasing Agent
18,Create Purchase Requisition,2011-01-02 18:36:00.000,2011-01-02 18:52:00.000,Tesca Lobes,Requester
18,Analyze Purchase Requisition,2011-01-03 19:45:00.000,2011-01-03 19:49:00.000,Heinz Gutschmidt,Requester Manager
18,Create Request for Quotation Requester Manager,2011-01-03 19:54:00.000,2011-01-03 19:57:00.000,Heinz Gutschmidt,Requester Manager
18,Analyze Request for Quotation,2011-01-03 21:15:00.000,2011-01-03 21:36:00.000,Karel de Groot,Purchasing Agent
18,Send Request for Quotation to Supplier,2011-01-04 08:30:00.000,2011-01-04 08:44:00.000,Karel de Groot,Purchasing Agent
18,Create Quotation comparison Map,2011-01-04 12:46:00.000,2011-01-04 14:40:00.000,Magdalena Predutta,Purchasing Agent
18,Analyze Quotation comparison Map,2011-01-04 20:48:00.000,2011-01-04 20:57:00.000,Tesca Lobes,Requester
18,Choose best option,2011-01-04 20:57:00.000,2011-01-04 20:57:00.000,Anna Kaufmann,Requester
18,Settle conditions with supplier,2011-01-05 16:36:00.000,2011-01-06 06:03:00.000,Karel de Groot,Purchasing Agent
18,Create Purchase Order,2011-01-06 12:40:00.000,2011-01-06 12:46:00.000,Francois de Perrier,Purchasing Agent
18,Confirm Purchase Order,2011-01-07 00:45:00.000,2011-01-07 01:19:00.000,Kiu Kan,Supplier
18,Deliver Goods Services,2011-01-07 14:43:00.000,2011-01-08 15:31:00.000,Karen Clarens,Supplier
18,Release Purchase Order,2011-01-08 22:51:00.000,2011-01-08 22:52:00.000,Anne Olwada,Requester
18,Approve Purchase Order for payment,2011-01-09 06:09:00.000,2011-01-09 06:10:00.000,Francois de Perrier,Purchasing Agent
18,Send invoice,2011-01-09 14:46:00.000,2011-01-09 14:46:00.000,Sean Manney,Supplier
18,Release Supplier's Invoice,2011-01-10 05:08:00.000,2011-01-10 05:12:00.000,Karalda Nimwada,Financial Manager
18,Authorize Supplier's Invoice payment,2011-01-10 05:12:00.000,2011-01-10 05:12:00.000,Karalda Nimwada,Financial Manager
18,Pay invoice,2011-01-10 05:29:00.000,2011-01-10 05:34:00.000,Karalda Nimwada,Financial Manager
20,Create Purchase Requisition,2011-01-02 20:13:00.000,2011-01-02 20:30:00.000,Anne Olwada,Requester
20,Analyze Purchase Requisition,2011-01-03 13:14:00.000,2011-01-03 13:19:00.000,Francis Odell,Requester Manager
20,Create Request for Quotation Requester Manager,2011-01-03 13:22:00.000,2011-01-03 13:25:00.000,Francis Odell,Requester Manager
20,Analyze Request for Quotation,2011-01-03 17:36:00.000,2011-01-03 18:09:00.000,Karel de Groot,Purchasing Agent
20,Amend Request for Quotation Requester,2011-01-03 19:08:00.000,2011-01-03 19:21:00.000,Christian Francois,Requester Manager
20,Analyze Request for Quotation,2011-01-03 20:21:00.000,2011-01-03 20:50:00.000,Karel de Groot,Purchasing Agent
20,Amend Request for Quotation Requester,2011-01-03 21:45:00.000,2011-01-03 21:56:00.000,Anne Olwada,Requester Manager
20,Analyze Request for Quotation,2011-01-03 22:59:00.000,2011-01-03 23:24:00.000,Francois de Perrier,Purchasing Agent
20,Amend Request for Quotation Requester,2011-01-04 00:08:00.000,2011-01-04 00:23:00.000,Esmana Liubiata,Requester Manager
20,Analyze Request for Quotation,2011-01-04 01:27:00.000,2011-01-04 01:42:00.000,Francois de Perrier,Purchasing Agent
20,Amend Request for Quotation Requester Manager,2011-01-04 17:55:00.000,2011-01-04 18:20:00.000,Maris Freeman,Requester Manager
20,Analyze Request for Quotation,2011-01-05 07:44:00.000,2011-01-05 08:03:00.000,Karel de Groot,Purchasing Agent
20,Amend Request for Quotation Requester,2011-01-05 08:56:00.000,2011-01-05 09:01:00.000,Elvira Lores,Requester Manager
20,Analyze Request for Quotation,2011-01-06 01:06:00.000,2011-01-06 01:29:00.000,Francois de Perrier,Purchasing Agent
20,Send Request for Quotation to Supplier,2011-01-06 14:26:00.000,2011-01-06 14:49:00.000,Karel de Groot,Purchasing Agent
20,Create Quotation comparison Map,2011-01-06 15:17:00.000,2011-01-06 19:33:00.000,Francois de Perrier,Purchasing Agent
20,Analyze Quotation comparison Map,2011-01-07 01:49:00.000,2011-01-07 02:23:00.000,Penn Osterwalder,Requester
20,Choose best option,2011-01-07 02:23:00.000,2011-01-07 02:23:00.000,Fjodor Kowalski,Requester
20,Settle conditions with supplier,2011-01-07 12:24:00.000,2011-01-08 00:24:00.000,Magdalena Predutta,Purchasing Agent
